위반문장 원문,대안제시,부당특약 사유
"6.2.9. 설계변경 등 ‘갑’ 사유가 아닌, 부득이한 코어 등의 작업이 발생할 경우 감리 또는 ‘갑’의 구조보강에 대한 요구가 있을 때에는 소요되는 비용(구조검토비 포함)을 부담하여야 한다.","수급사업자의 귀책 사유가 아니거나, 예측이 불가능한 내용에 대한 비용부담을 시키는 문구로 판단됩니다. (삭제)",수급사업자의 책임 없는 사유로 발생한 비용을 수급사업자에게 부담시키는 약정
"6.2.9. 설계변경 등 ‘갑’ 사유가 아닌, 부득이한 코어 등의 작업이 발생할 경우 감리 또는 ‘갑’의 구조보강에 대한 요구가 있을 때에는 소요되는 비용(구조검토비 포함)을 부담하여야 한다.","수급사업자의 귀책 사유가 아니거나, 예측이 불가능한 내용에 대한 비용부담을 시키는 문구로 판단됩니다. (삭제)",수급사업자의 책임 없는 사유로 발생한 비용을 수급사업자에게 부담시키는 약정
7) 비계 및 가시설 비용을 포함하여 견적한다.,"비계, 발판 등의 가시설 비용에 대해 구체적으로 명기 필요",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6.1.5 수급사업자는 본 공사와 관련한 대관청 인허가 업무를 원사업자의에 협조 수행하며 이에 발생되는 모든 수수료 및 소요비용은 “관리비 및 이윤”에 포함하여 견적한다.,6.1.5 수급사업자는 본 공사와 관련한 대관청 인허가 업무를 원사업자의에 협조 수행한다. 하며 이에 발생되는 모든 수수료 및 소요비용은 “관리비 및 이윤”에 포함하여 견적한다. (삭제),"관련 법령에 따라 원사업자의 의무사항으로 되어 있는 인•허가, 환경관리 또는 품질관리 등과 관련하여 발생하는 비용을 수급사업자에게 부담시키는 약정"
"6.1.10 / 7.2.1 / 8.2.1
원사업자가 수급사업자에게 돌관작업을 지시할수 있다는 문구
반복 사용","6.1.10 / 7.2.1 / 8.2.1.
(1개 제외 나머지 문구 삭제)",유사문구 중복 (부당특약 아님)
7) 비계 및 가시설 비용을 포함하여 견적한다.,"비계, 발판 등의 가시설 비용에 대해 구체적으로 명기 필요",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6.1.5 수급사업자는 본 공사와 관련한 대관청 인허가 업무를 원사업자의에 협조 수행하며 이에 발생되는 모든 수수료 및 소요비용은 “관리비 및 이윤”에 포함하여 견적한다.,6.1.5 수급사업자는 본 공사와 관련한 대관청 인허가 업무를 원사업자의에 협조 수행한다. 하며 이에 발생되는 모든 수수료 및 소요비용은 “관리비 및 이윤”에 포함하여 견적한다. (삭제),"관련 법령에 따라 원사업자의 의무사항으로 되어 있는 인•허가, 환경관리 또는 품질관리 등과 관련하여 발생하는 비용을 수급사업자에게 부담시키는 약정"
"6.1.10 / 7.2.1 / 8.2.1
원사업자가 수급사업자에게 돌관작업을 지시할수 있다는 문구
반복 사용","6.1.10 / 7.2.1 / 8.2.1.
(1개 제외 나머지 문구 삭제)",유사문구 중복 (부당특약 아님)
"6.3.1 유리 제작 및 시공에 필요한 Shop DWG. 및 구조계산서 작성 및 제출, 실측 등에 필요한 모든 비용을 포함하여 견적한다.","6.3.1 유리 제작 및 시공에 필요한 Shop DWG. 및 구조계산서 작성 및 제출, 실측 등에 필요한 모든 비용을 포함하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6.1.32 (전략) - 수량 : “원사업자”와 협의하여 결정한다.,"6.1.32 (전략) - 수량 : (예상수량 명기), 단, 원사업자와 협의하여 최종 결정",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.3.1 유리 제작 및 시공에 필요한 Shop DWG. 및 구조계산서 작성 및 제출, 실측 등에 필요한 모든 비용을 포함하여 견적한다.","6.3.1 유리 제작 및 시공에 필요한 Shop DWG. 및 구조계산서 작성 및 제출, 실측 등에 필요한 모든 비용을 포함하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6.1.32 (전략) - 수량 : “원사업자”와 협의하여 결정한다.,"6.1.32 (전략) - 수량 : (예상수량 명기), 단, 원사업자와 협의하여 최종 결정",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"② PC부재 납품 : 2019년 09월 ~ 2020년 01월 (현장여건에 따라 협의 후 변경 가능)
③ PC부재 조립 : 2019년 09월 ~ 2020년 01월 (현장여건에 따라 협의 후 변경 가능)",일정 조정 필요 (9월 → 10월 초),"원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
6.2.18. 모든 창호 하드웨어 설치 부위에 보강대를 포함하여 견적한다.,하드웨어 및 보강대에 대한 구체적인 설명필요,원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"<커튼월 특기사항>
8) 모든 자재의 현장내 하차, 소운반 및 규격별 정리 정돈한다","8) ""수급사업자""는 ""원사업자""가 지급하는 자재 외 모든 자재에 대하여 현장에서의 관리를 책임진다. (자재의 현장 내 하차 및 소운반) 안전한 현장 관리를 위해 자재는 규격별로 정리정돈한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"8) 비상벨, CCTV 납품 및 설치는 연간단가업체인 POSCO ICT 공사분임.",해당 공종에 POSCO ICT 공사분을 포함하고 있다는 내용이라면 부당한 대금 결정의 소지가 있습니다.,"원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
"6.4.1 장애인 관련법령에 맞추어서 장애인 경사램프 기울기 및 계단참 폭, 너비, 내경 등을 문제되지 않도록 사전검토 및 시공시 체크하여 관리하도록 하며, 문제 발생시 재시공 비용을 해당내역에 포함하여 견적한다.","6.4.1 장애인 관련법령에 맞추어서 장애인 경사램프 기울기 및 계단참 폭, 너비, 내경 등을 문제되지 않도록 제공된 도면에 대한 사전검토 및 현장 상황에 대한 면밀한 확인이 필요하다. 다만, 제공된 자료의 내용이 법령에 위배될 경우 추가 비용에 대해서는 협의하여 결정한다.",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.5.1 타 부재와 근접한 부분 또는 기타 마감면 등이 오손되지 않도록 적절히 보양하여야 하며 이에 따른 재료비, 및 시공비, 해체비 일체를 포함해 견적해야한다.","타 부재와 근접한 부분 또는 기타 마감면 등이 오손되지 않도록 당사의 보양 기준을 바탕으로 보양을 하여야 하며, 이에 따른 재료비 및 시공비, 해체비 등을 해당 공사의 석재 붙이기 내역에 포함해 견적해야한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6.2.1.8. 공사 수행에 필요한 가시설은 사전에 “원수급자”의 승인을 득한 후 처리한다.,"6.2.1.8. 공사 수행에 필요한 가시설은 사전에 “원수급자”의 승인을 득한 후 처리한다. (가시설 : 비계, 발판 등 ← 가시설에 대하여 상세 설명 표기)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1.8 현장 인접은 주택가임을 감안하여 아래사항을 준수하여 공사 수행시 차질 없도록 하여야 한다.
1) 특정공사 수행에 따른 장비 소음 방지를 위한 대책을 강구하여 수행하여야 한다.
- 저소음, 저진동 장비 반입( 장비 기준 5년이내)

6.2.2.8 소음발생 방지 위한 전구간 트리콘비트를 장착하여 작업하는 것으로 한다.(모든 천공 장비는 소음/분진 저감 시설을 설치하여야 한다.

6.2.3.2 천공은 압축공기를 이용한 드릴 방법을 원칙으로 하고 천공기 주변에 소음 및 분진방지 시설을 설치하며, 지하 매설물 및 도로 훼손 방지를 위하여 상부 토사 구간 천공시 수세식 천공기를 사용하여 천공한다",소음/분진예방에 대해서는 사양서 내부에 중복적으로 기재되어 있습니다. (소음으로 검색결과 특기사항에만 3개의 단락으로 중복표기) 소음/분진을 예방할수 있는 아이템에 대해서 설명을 하시거나 중복된 내용은 정리가 필요할 것으로 판단됩니다.,동어 반복
"3) 임시 측량점의 설치수량 산정은 현장 대지경계 기준, 임의의 다각형 형태로써 “원사업자”의 공사담당자와 협의 후, 가로×세로, 50m×50m, 기준간격당 1개소 및 기준간격 면적대비 75% 이상 해당되는 구간은 수량 추가 할 수 한다.","임시 측량점의 설치 수량은 당 공종의 내역(내역명 명기) 에 명기된 바와 같으며, 측량점 설치 수량의 산정은 현장 대지 경계 기준, 가로*세로, 50m X 50m, 기준 간격당 1개소를 원칙으로 하였으나, 기준간격 면적대비 75% 이상에 해당되는 구간에 대해서는 ""원사업자""의 공사담당자와 협의 결과에 따라 증감이 있을수 있다.",내용 명확화
"6.1.8 방수작업 투입시점은 계약 체결 후 “원사업자”에서 지정하는 날로 하며, “수급사업자”의 사유로 투입 지연시 외부비계는 “수급사업자”의 부담으로 시행한다","6.1.8 방수작업 투입시점은 계약 체결 후 “원사업자”와 ""수급사업자가"" 협의하여 결정하며, “수급사업자”의 사유로 투입 지연시 외부비계는 “수급사업자”의 부담으로 시행한다","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
5.1 납품범위 및 내용은 “원사업자”의 현장여건에 따라 변경될 수 있으며 본 공사와 관련하여 신규 품목이 발생시 당사 설계변경 기준에 따른다.,"5.1 납품범위 및 내용은 “원사업자”의 현장여건에 따라 변경될 수 있으며 본 공사와 관련하여 신규 품목이 발생시 원사업자, 수급사업자 상호 협의하여 비용을 결정한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"5.2 도면 및 제반 설계도서의 변경 없이는 설계변경이 불가하고, 시공 중 발생되는 경미한 사항은 “수급사업자”의 부담으로 시행한다",삭제,원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
5.4 “수급사업자”는 계약 및 납품에 소요되는 제반 문서 및 관계자료를 “원사업자”가 요구할 경우 즉시 제출하여야 한다.,"삭제 (해당 문서가 특정화 되지 않았으며, 그 소요 시점역시 특정되지 않은 상태이므로 부당한 특약의 소지가 있습니다.)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"11.8. 투찰 시, 단가에는 물류비(운송비)등 기타 비용을 포함 한다(물류비 등 별도 정산 없음).","11.8. 투찰 시, (내역명명기) 단가에는 현장 내 반입을 위한 비용을 포함하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
2.1.1 차. 혼축방지판은 포함하지 않는다.,2.1.1 차. 혼촉방지판은 포함하지 않는다.,오타 정정
"6.11 모든 인허가 등 대관업무는 “수급사업자”의 범위이며, 이로 인해 발생하는 비용은 관리비 및 이윤 항목에 포함한다.","6.11 해당공사와 관련된 인허가 등 대관업무에 “수급사업자”는 최대한 협조해야하며, 이로 인해 발생하는 비용은 관리비 및 이윤 항목에 포함한다.","관련 법령에 따라 원사업자의 의무사항으로 되어 있는 인•허가, 환경관리 또는 품질관리 등과 관련하여 발생하는 비용을 수급사업자에게 부담시키는 약정"
"9) 온돌바닥 미장시 균열 유도줄눈 2개소 이상 설치이며 “원사업자”의 승인하에 시행한다. (균열유도줄눈은 견적에 포함, 별도 정산 없음)",9) 온돌바닥 미장시 균열 유도줄눈 2개소 이상 설치이며 “원사업자”의 승인하에 시행한다. (균열유도줄눈은 XXX내역에 포함하여 견적한다.),원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
“원사업자”의 지시에 따라 개구부 코너부위 등 메탈라스 보강이 필요한 경우에는 메탈라스를 보강 후 시공하도록 한다.,"향후 정산 및 메탈라스 보강에 대하여 분쟁발생시, 당사에서 해당 문구를 바탕으로 대금 지급을 하지 않는 사유로 사용을 금합니다. 
당사의 지시로 인하여 보강작업이 필요할수 있다고 안내하였고, 그 해당사항이 입찰시 예측이 불가한점등에 따라 해당 내용이 추가로 지시가 된다면 이에 대한 대금은 반드시 지급되어야 합니다.","부당특약은 아니나, 해석에 대한 부분을 명확히 하고자 함"
"1) 조적공사에 소요되는 재료비, 노무비, 장비비 및 제반 경비 일체 - 현장내 소운반 포함","1) 조적공사에 소요되는 재료비, 노무비, 장비비 및 제반 경비 일체 - 현장내 소운반(최대 몇 KM?) 포함","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
"4) 타일나누기 후 샘플시공에 의해 정해진 타일 수량만큼만 지급하도록 하며, 파손 및 절단오류 등으로 발생하는 타일 추가분은 “원사업자”이 지급하지 않는다","4) 타일나누기 후 샘플시공에 의해 정해진 타일 수량만큼만 지급하도록 하며, ""수급사업자의 귀책사유(파손 및 절단오류 등)으로 발생하는 타일 추가분은 “원사업자”이 지급하지 않는다","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
"4) 각종 렌탈, 가설 비계 및 발판비용 등은 포함해야 하며, 전기, 설비 기존 설치물 전면 보양 및 
제거비용도 포함하여 견적한다.","4) 각종 렌탈, 가설 비계 및 발판비용 등은 포함해야 하며, 전기, 설비 기존 설치물 전면 보양 및 제거비용을 (내역명 명기)에 포함하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"”수급사업자”는 공사 여건을 고려한 시공에 필요한 모든 가설 및 가설장비 비용을 해당공사내역에
 포함하여 입찰하여야 한다. (별도의 정산 및 추가금액 집행 없음)","”수급사업자”는 공사 여건을 고려한 시공에 필요한 모든 가설 및 가설장비 비용을 해당공사내역에
 포함하여 입찰하여야 한다. (별도의 정산 및 추가금액 집행 없음)",계약 기간 중 수급사업자가 법 제 16조의 2에 따라 하도급 대금 조정을 신청할 수 있는 권리를 제한하는 약정
"3.1 다음에 소요되는 비용은 공급자(납품자, 제조업자) 부담으로 한다.
(전략) 3.1.2 사용기기의 시험에 소요되는 제반 비용","3.1 다음에 소요되는 비용은 공급자(납품자, 제조업자) 부담으로 XX내역에 비용을 포함하여 견적한다
(전략) 3.1.2 사용기기(AAA,BBB, 등) 의 시험에 소요되는 제반 비용","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
